,INSKUDD,UTLAN,PURRING_ANTALL_12MND,ALDER,KJONN,HAR_MOBIL,LONNSOMHET_PER_MND_TYPE
334,0.0,0.0,0,31,0,1,Good
335,0.0,0.0,0,31,0,1,Good
336,114.0,0.0,0,30,0,1,Good
337,109.0,0.0,0,30,0,1,Good
338,97.0,0.0,0,30,0,1,Good
339,98.0,0.0,0,30,0,1,Bad
340,7.0,0.0,0,29,0,1,Good
341,6.0,0.0,0,29,0,1,Good
342,467.0,0.0,0,29,1,0,Good
343,464.0,0.0,0,29,1,0,Good
344,2.0,0.0,2,28,0,1,Good
345,0.0,0.0,2,28,0,1,Good
346,154.0,0.0,0,27,0,1,Good
347,151.0,0.0,0,27,0,1,Good
348,88.0,3200.0,0,27,1,1,Good
349,89.0,3200.0,0,27,1,1,Bad
350,125.0,0.0,0,26,0,1,Good
351,112.0,0.0,0,26,0,1,Good
352,35.0,0.0,0,25,1,1,Bad
353,35.0,0.0,0,25,1,1,Bad
354,36.0,0.0,0,15,1,1,Good
355,36.0,0.0,0,15,1,1,Good
356,0.0,0.0,0,13,1,0,Good
357,408.0,0.0,0,91,0,0,Good
358,422.0,0.0,0,91,0,0,Good
359,1049.0,0.0,0,82,0,1,Good
360,1050.0,0.0,0,82,0,1,Good
361,505.0,0.0,0,82,0,0,Good
362,496.0,0.0,0,82,0,0,Good
363,12.0,0.0,0,80,1,1,Good
364,11.0,0.0,0,80,1,1,Good
365,286.0,0.0,0,75,0,0,Good
366,292.0,0.0,0,75,0,0,Good
367,702.0,0.0,0,73,0,1,Good
368,711.0,0.0,0,73,0,1,Good
369,109.0,0.0,0,73,1,0,Good
370,108.0,0.0,0,73,1,0,Good
371,0.0,362.0,0,71,1,1,Good
372,0.0,353.0,0,71,1,1,Good
373,40.0,260.0,0,71,0,1,Good
374,39.0,255.0,0,71,0,1,Good
375,190.53660414718664,422.60150706781803,0,69,1,0,Good
376,190.53660414718664,422.60150706781803,0,69,1,0,Good
377,754.0,179.0,0,69,0,1,Good
378,750.0,177.0,0,69,0,1,Good
379,59.0,0.0,0,69,0,1,Good
380,71.0,0.0,0,69,0,1,Good
381,168.0,0.0,0,68,1,1,Good
382,160.0,0.0,0,68,1,1,Good
383,102.0,850.0,0,67,0,1,Good
384,97.0,848.0,0,67,0,1,Good
385,46.0,16.0,0,66,1,1,Good
386,49.0,15.0,0,66,1,1,Good
387,190.53660414718664,422.60150706781803,0,66,1,0,Good
388,190.53660414718664,422.60150706781803,0,66,1,0,Good
389,1505.0,0.0,0,66,1,1,Good
390,1238.0,0.0,0,66,1,1,Good
391,6.0,2930.0,0,63,1,1,Good
392,14.0,2930.0,0,63,1,1,Good
393,74.0,707.0,0,63,0,1,Good
394,67.0,701.0,0,63,0,1,Good
395,10.0,0.0,0,62,0,0,Good
396,3.0,0.0,0,62,0,0,Good
397,190.0,0.0,0,61,0,1,Good
398,162.0,0.0,0,61,0,1,Good
399,649.0,0.0,0,61,0,1,Good
400,655.0,0.0,0,61,0,1,Good
401,190.53660414718664,422.60150706781803,0,60,0,1,Good
402,190.53660414718664,422.60150706781803,0,60,0,1,Good
403,0.0,0.0,0,60,0,1,Good
404,0.0,0.0,0,60,0,1,Good
405,777.0,262.0,0,60,1,1,Good
406,743.0,257.0,0,60,1,1,Good
407,36.0,3553.0,0,59,1,1,Good
408,41.0,3520.0,0,59,1,1,Good
409,35.0,0.0,0,59,1,1,Good
410,20.0,0.0,0,59,1,1,Good
411,0.0,0.0,0,58,0,1,Bad
412,0.0,0.0,0,58,0,1,Bad
413,0.0,0.0,0,57,1,1,Good
414,2.0,0.0,0,57,1,1,Good
415,6.0,0.0,0,55,0,1,Good
416,8.0,0.0,0,55,0,1,Good
417,190.53660414718664,422.60150706781803,0,55,0,1,Good
418,190.53660414718664,422.60150706781803,0,55,0,1,Good
419,18.0,104.0,0,53,1,1,Good
420,20.0,100.0,0,53,1,1,Good
421,162.0,0.0,0,53,1,1,Good
422,102.0,0.0,0,53,1,1,Good
423,12.0,0.0,0,52,0,1,Good
424,14.0,0.0,0,52,0,1,Good
425,190.53660414718664,422.60150706781803,0,51,1,0,Good
426,190.53660414718664,422.60150706781803,0,51,1,0,Good
427,0.0,0.0,0,50,1,1,Bad
428,0.0,0.0,0,50,1,1,Bad
429,0.0,0.0,0,49,1,1,Good
430,0.0,0.0,0,49,1,1,Good
431,101.0,0.0,0,49,1,0,Good
432,93.0,0.0,0,49,1,0,Good
433,18.0,0.0,0,47,1,1,Good
434,53.0,0.0,0,47,1,1,Good
435,0.0,0.0,0,46,1,1,Good
436,0.0,0.0,0,46,1,1,Good
437,6.0,334.0,0,46,1,1,Good
438,7.0,332.0,0,46,1,1,Good
439,144.0,3002.0,0,44,1,1,Good
440,148.0,2997.0,0,44,1,1,Good
441,190.53660414718664,422.60150706781803,0,40,1,1,Good
442,190.53660414718664,422.60150706781803,0,40,1,1,Good
443,24.0,2130.0,0,36,0,1,Good
444,25.0,2126.0,0,36,0,1,Good
445,6.0,96.0,0,34,0,1,Good
446,6.0,91.0,0,34,0,1,Good
447,22.0,0.0,0,31,1,1,Good
448,8.0,0.0,0,31,1,1,Good
449,3.0,0.0,0,30,0,1,Good
450,3.0,0.0,0,30,0,1,Good
451,23.0,2060.0,0,29,0,1,Good
452,34.0,2053.0,0,29,0,1,Good
453,0.0,0.0,0,25,0,1,Bad
454,0.0,0.0,0,25,0,1,Bad
455,4.0,0.0,0,23,1,0,Good
456,5.0,0.0,0,23,1,0,Good
457,192.0,0.0,0,22,1,1,Bad
458,195.0,0.0,0,22,1,1,Bad
459,220.0,0.0,0,22,1,1,Bad
460,221.0,0.0,0,22,1,1,Bad
461,7.0,46.0,0,21,0,1,Good
462,6.0,45.0,0,21,0,1,Good
463,99.0,0.0,0,21,0,0,Good
464,104.0,0.0,0,21,0,0,Good
465,0.0,0.0,0,15,0,0,Bad
466,0.0,0.0,0,16,0,0,Bad
467,59.0,0.0,0,12,0,1,Good
468,59.0,0.0,0,13,0,1,Good
469,0.0,0.0,0,12,1,0,Bad
470,0.0,0.0,0,13,1,0,Bad
471,11.0,0.0,0,11,0,0,Good
472,11.0,0.0,0,12,0,0,Good
473,0.0,0.0,0,7,0,0,Bad
474,0.0,0.0,0,8,0,0,Bad
475,12.0,0.0,0,5,1,0,Bad
476,12.0,0.0,0,6,1,0,Bad
477,17.0,0.0,0,3,0,0,Good
478,17.0,0.0,0,4,0,0,Good
479,596.0,0.0,0,88,1,1,Good
480,578.0,0.0,0,89,1,1,Good
481,549.0,0.0,0,86,1,1,Good
482,569.0,0.0,0,87,1,1,Good
483,472.0,0.0,0,81,0,1,Good
484,477.0,0.0,0,82,0,1,Good
485,725.0,0.0,0,80,1,1,Good
486,715.0,0.0,0,81,1,1,Good
487,21.0,0.0,0,80,1,1,Good
488,24.0,0.0,0,81,1,1,Good
489,2053.0,0.0,0,78,1,1,Good
490,2062.0,0.0,0,79,1,1,Good
491,436.0,0.0,0,74,0,1,Good
492,432.0,0.0,0,75,0,1,Good
493,70.0,456.0,0,73,0,1,Good
494,65.0,453.0,0,74,0,1,Good
495,1911.0,0.0,0,71,1,1,Good
496,1927.0,0.0,0,72,1,1,Good
497,6.0,1464.0,0,70,0,1,Good
498,8.0,1464.0,0,71,0,1,Bad
499,146.0,0.0,0,69,1,1,Good
500,154.0,0.0,0,70,1,1,Good
501,1519.0,0.0,0,67,1,1,Good
502,1524.0,0.0,0,68,1,1,Good
503,1585.0,130.0,0,62,0,1,Good
504,1585.0,120.0,0,63,0,1,Good
505,169.0,0.0,0,60,0,1,Good
506,167.0,0.0,0,61,0,1,Good
507,190.53660414718664,422.60150706781803,0,60,1,1,Good
508,190.53660414718664,422.60150706781803,0,61,1,1,Good
509,831.0,582.0,0,60,0,1,Good
510,854.0,581.0,0,61,0,1,Good
511,9.0,0.0,0,58,1,1,Good
512,0.0,0.0,0,59,1,1,Good
513,190.53660414718664,422.60150706781803,0,58,0,0,Good
514,190.53660414718664,422.60150706781803,0,59,0,0,Good
515,12.0,541.0,0,57,0,1,Good
516,20.0,539.0,0,58,0,1,Good
517,12.0,0.0,0,57,1,1,Good
518,20.0,0.0,0,58,1,1,Good
