TID_ID	BK_SB1_SELSKAP_ID	KUNDE_ID	ALDER	KJONN	DOD	KONKURS	SAMTYKKE_1_SVAR	SAMTYKKE_2_SVAR	HAR_EPOST	HAR_MOBIL	RESERVERT_MOT_MARKEDSFORING	RESERVERT_TELEFON_BRREG_FLG
20190430	2096	18671	48	K	0	0	J	J	1	1	N	0
20190430	2096	18683	33	M	0	0	J	J	0	0	N	0
20190329	2096	18683	33	M	0	0	J	J	0	0	N	0
20190329	2096	18686	31	M	0	0	J	J	1	1	N	0
20190430	2096	18686	31	M	0	0	J	J	1	1	N	0
20190430	2096	18692	25	M	0	0	N	J	1	1	N	0
20190329	2096	18692	25	M	0	0	N	J	1	1	N	0
20190329	2096	18695	23	K	0	0	J	J	1	1	N	0
20190430	2096	18695	23	K	0	0	J	J	1	1	N	0
20190430	2096	18705	79	M	0	0	J	J	0	1	N	1
20190329	2096	18705	79	M	0	0	J	J	0	1	N	1
20190329	2096	18712	63	K	0	0	J	J	0	0	N	1
20190430	2096	18712	63	K	0	0	J	J	0	0	N	1
20190430	2096	18717	58	K	0	0	J	J	1	1	N	1
20190329	2096	18717	58	K	0	0	J	J	1	1	N	1
20190329	2096	18734	35	K	0	0	J	J	1	1	N	0
20190430	2096	18734	35	K	0	0	J	J	1	1	N	0
20190430	2096	18735	35	M	0	0	J	J	1	1	N	1
20190329	2096	18735	35	M	0	0	J	J	1	1	N	1
20190329	2096	18739	21	K	0	0	J	J	1	1	N	0
20190430	2096	18739	21	K	0	0	J	J	1	1	N	0
20190430	2096	18741	20	M	0	0	J	J	1	1	N	0
20190329	2096	18741	20	M	0	0	J	J	1	1	N	0
20190329	2096	18743	17	M	0	0	J	J	1	1	N	1
20190430	2096	18743	17	M	0	0	J	J	1	1	N	1
20190430	2096	18761	65	M	0	0	J	J	1	1	N	0
20190329	2096	18761	65	M	0	0	J	J	1	1	N	0
20190329	2096	18773	48	M	0	0	J	J	1	1	N	1
20190430	2096	18773	48	M	0	0	J	J	1	1	N	1
20190430	2096	18780	37	M	0	0	J	J	1	1	N	1
20190329	2096	18780	37	M	0	0	J	J	1	1	N	1
20190329	2096	18792	25	K	0	0	J	J	1	1	N	0
20190430	2096	19175	57	K	0	0	J	J	1	1	N	1
20190329	2096	19175	57	K	0	0	J	J	1	1	N	1
20190329	2096	19187	48	K	0	0	J	J	1	1	N	1
20190430	2096	19187	48	K	0	0	J	J	1	1	N	1
20190430	2096	19192	42	K	0	0	J	J	1	1	N	1
20190329	2096	19192	42	K	0	0	J	J	1	1	N	1
20190329	2096	19204	28	M	0	0	J	J	1	1	N	1
20190430	2096	19204	28	M	0	0	J	J	1	1	N	1
20190430	2096	19205	25	K	0	0	J	J	1	1	N	0
20190329	2096	19205	25	K	0	0	J	J	1	1	N	0
20190329	2096	19211	16	M	0	0	J	J	1	1	N	0
20190430	2096	19211	16	M	0	0	J	J	1	1	N	0
20190430	2096	19214	5	M	0	0	J	J	1	1	N	0
20190329	2096	19214	5	M	0	0	J	J	1	1	N	0
20190329	2096	19216	3	M	0	0	J	J	1	1	N	0
20190430	2096	19216	3	M	0	0	J	J	1	1	N	0
20190430	2096	19240	31	K	0	0	J	J	1	1	N	0
20190329	2096	19240	31	K	0	0	J	J	1	1	N	0
20190430	2096	19243	27	M	0	0	J	J	1	1	N	0
20190329	2096	19243	27	M	0	0	J	J	1	1	N	0
20190329	2096	19247	25	M	0	0	J	J	1	1	N	0
20190430	2096	19247	25	M	0	0	J	J	1	1	N	0
20190430	2096	19251	3	M	0	0	J	J	0	0	N	0
20190329	2096	19251	3	M	0	0	J	J	0	0	N	0
20190329	2096	19261	67	K	0	0	J	J	1	1	N	0
20190430	2096	19261	67	K	0	0	J	J	1	1	N	0
20190430	2096	19273	47	K	0	0	J	J	1	1	N	1
20190329	2096	19273	47	K	0	0	J	J	1	1	N	1
20190329	2096	19283	39	M	0	0	J	J	1	1	N	0
20190430	2096	19283	39	M	0	0	J	J	1	1	N	0
20190430	2096	19284	39	M	0	0	J	J	1	1	N	1
20190329	2096	19284	39	M	0	0	J	J	1	1	N	1
20190329	2096	19290	34	K	0	0	J	J	1	1	N	0
20190430	2096	19290	34	K	0	0	J	J	1	1	N	0
20190430	2096	19292	32	M	0	0	J	J	1	1	N	1
20190329	2096	19292	32	M	0	0	J	J	1	1	N	1
20190329	2096	19295	21	M	0	0	J	J	1	1	N	0
20190430	2096	19295	21	M	0	0	J	J	1	1	N	0
20190430	2096	19315	61	K	0	0	J	J	0	0	N	0
20190329	2096	19315	61	K	0	0	J	J	0	0	N	0
20190430	2096	19318	59	M	0	0	J	J	0	1	N	1
20190329	2096	19318	59	M	0	0	J	J	0	1	N	1
20190329	2096	19322	53	M	0	0	J	J	1	1	N	0
20190430	2096	19322	53	M	0	0	J	J	1	1	N	0
20190430	2096	19323	50	M	0	0	J	J	1	1	N	1
20190329	2096	19323	50	M	0	0	J	J	1	1	N	1
20190329	2096	19324	50	M	0	0	J	J	1	1	N	1
20190430	2096	19324	50	M	0	0	J	J	1	1	N	1
20190430	2096	19325	49	M	0	0	J	J	0	1	N	0
