TID_ID	BK_SB1_SELSKAP_ID	KUNDE_ID	INSKUDD	UTLAN	LANGTIDSOVERVAKET_FLG	PURRING_ANTALL_12MND	LO_MEDLEM_FLG	FAM_VOKSNE_ANT	FAM_BARN_ANT	ANT_INNLOGGINGER_MOBILBANK	ANT_INNLOGGINGER_NETTBANK	LONNSOMHET_PER_MND
20190430	2096	19894	53	1851	0	NULL	0	1	2	0	1	1451
20190430	2096	17770	160	0	0	NULL	1	NULL	NULL	3	0	188
20190329	2096	8665	10	1	0	NULL	1	NULL	NULL	0	5	759
20190329	2096	4922	310	2160	0	NULL	1	2	2	17	3	2236
20190329	2096	17140	351	0	0	NULL	0	NULL	NULL	4	0	354
20190430	2096	17018	9	1537	0	NULL	0	2	1	0	5	749
20190329	2096	12063	6	0	0	NULL	1	2	1	3	1	11
20190430	2096	7581	176	0	0	NULL	0	2	3	25	0	80
20190430	2096	16269	20	0	0	NULL	0	NULL	NULL	NULL	NULL	35
20190430	2096	9958	114	1805	0	NULL	0	2	1	2	1	976
20190430	2096	17239	2	7	0	NULL	0	NULL	NULL	0	3	551
20190430	2096	10503	1	733	0	NULL	0	NULL	NULL	43	2	798
20190329	2096	3847	191	678	0	NULL	0	2	0	13	18	1056
20190329	2096	6458	320	0	0	NULL	1	2	0	0	7	552
20190430	2096	13875	4	0	0	NULL	1	2	1	33	0	99
20190329	2096	9113	22	1311	0	NULL	1	2	2	77	0	549
20190430	2096	3282	33	0	0	NULL	0	2	0	0	1	80
20190329	2096	1344	242	1064	0	1	1	NULL	NULL	18	0	1878
20190329	2096	13013	0	0	0	NULL	0	NULL	NULL	0	3	1
20190430	2096	7116	2	0	0	NULL	0	2	2	NULL	NULL	2
20190430	2096	13822	8	0	0	NULL	1	NULL	NULL	7	2	155
20190430	2096	7560	7	2084	0	1	1	2	2	41	0	2212
20190430	2096	20845	0	0	0	NULL	0	NULL	NULL	NULL	NULL	0
20190430	2096	13250	1	0	0	NULL	0	2	0	0	2	6
20190430	2096	9421	608	0	0	NULL	0	NULL	NULL	0	2	1194
20190329	2096	9095	58	737	0	NULL	1	2	0	6	0	1209
20190329	2096	17082	28	0	0	NULL	1	1	2	20	0	52
20190430	2096	13918	11	745	0	0	1	1	1	61	2	699
20190430	2096	13055	68	0	0	NULL	0	NULL	NULL	NULL	NULL	71
20190329	2096	18142	66	7552	0	0	0	NULL	NULL	0	6	12283
20190329	2096	14095	952	0	0	NULL	0	NULL	NULL	0	50	1493
20190430	2096	8643	0	0	0	NULL	0	2	1	50	0	0
20190430	2096	7064	4	910	0	NULL	1	NULL	NULL	0	4	1695
20190430	2096	6582	23	0	0	NULL	1	2	0	9	2	72
20190430	2096	10192	17	0	0	NULL	0	2	1	37	1	58
20190329	2096	9846	0	0	0	NULL	0	NULL	NULL	0	0	0
20190329	2096	6425	48	0	0	NULL	0	NULL	NULL	26	0	210
20190430	2096	4197	53	0	0	NULL	0	2	2	NULL	NULL	55
20190329	2096	13113	3	0	0	NULL	0	NULL	NULL	29	1	79
20190430	2096	11997	794	0	0	NULL	1	NULL	NULL	0	0	1409
20190329	2096	9389	54	0	0	NULL	0	NULL	NULL	0	0	86
20190430	2096	873	930	0	0	NULL	0	2	2	0	5	1149
20190430	2096	12232	1	0	0	NULL	0	2	0	0	4	1
20190430	2096	852	1	0	0	0	0	2	0	0	0	28
20190329	2096	6031	20	0	0	NULL	0	NULL	NULL	0	0	32
20190430	2096	19190	66	1641	0	NULL	0	1	1	5	5	2203
20190430	2096	4540	116	0	0	NULL	0	2	0	0	6	236
20190430	2096	10085	4	278	0	NULL	0	NULL	NULL	6	1	765
20190329	2096	17477	80	494	0	NULL	1	NULL	NULL	0	0	1395
20190430	2096	12959	13	4112	0	1	1	NULL	NULL	50	0	2887
20190329	2096	71	45	1779	0	NULL	1	2	1	69	1	1769
20190430	2096	10020	2	726	0	NULL	1	2	1	29	1	670
20190329	2096	11439	749	0	0	NULL	1	NULL	NULL	NULL	NULL	1243
20190329	2096	10626	22	425	0	NULL	1	NULL	NULL	0	12	1344
20190329	2096	12715	2	0	0	NULL	0	NULL	NULL	NULL	NULL	5
20190329	2096	16601	0	0	0	NULL	0	NULL	NULL	NULL	NULL	0
20190329	2096	2397	17	1043	0	NULL	0	2	1	39	0	1677
20190329	2096	16609	718	0	0	NULL	0	NULL	NULL	NULL	NULL	887
20190430	2096	12483	232	0	0	NULL	0	NULL	NULL	0	0	557
20190430	2096	19724	16	0	0	NULL	1	2	0	0	0	54
20190329	2096	13563	613	0	0	NULL	0	NULL	NULL	26	0	533
20190329	2096	15150	70	0	0	NULL	0	2	2	NULL	NULL	68
20190430	2096	8306	111	0	0	NULL	0	2	1	0	0	119
20190329	2096	725	60	1558	0	0	0	2	0	13	0	874
20190329	2096	1176	653	0	0	NULL	0	2	0	NULL	NULL	867
20190430	2096	8342	0	0	0	NULL	0	NULL	NULL	0	0	0
20190430	2096	9291	2	1464	0	NULL	0	NULL	NULL	17	0	1443
20190329	2096	4404	135	1207	0	0	0	NULL	NULL	105	1	1
20190329	2096	2823	196	788	0	NULL	1	NULL	NULL	85	0	1562
20190329	2096	16798	5	0	0	NULL	0	NULL	NULL	9	0	16
20190329	2096	3672	334	1284	0	NULL	0	NULL	NULL	0	10	1749
20190430	2096	15726	1	0	0	NULL	0	NULL	NULL	NULL	NULL	2
20190430	2096	4870	15	0	0	NULL	0	2	2	0	1	51
20190430	2096	14764	247	5116	0	NULL	0	2	2	0	5	4363
20190430	2096	20516	0	0	0	NULL	0	NULL	NULL	NULL	NULL	0
20190430	2096	1070	588	637	0	NULL	1	NULL	NULL	0	5	1382
20190329	2096	5235	0	0	0	0	0	2	0	1	0	25
20190329	2096	5201	12	0	0	NULL	0	NULL	NULL	NULL	NULL	21
20190329	2096	2804	13	0	0	NULL	0	2	0	0	2	47
20190329	2096	18034	0	0	0	NULL	0	2	2	9	0	35
20190329	2096	9269	640	2901	0	0	0	2	0	0	13	4915
20190430	2096	6692	755	0	0	NULL	0	2	0	0	4	1263
20190329	2096	5864	1060	0	0	NULL	0	NULL	NULL	NULL	NULL	1117
20190329	2096	7394	140	947	0	NULL	1	2	0	0	0	987
20190329	2096	5818	27	655	0	0	1	NULL	NULL	0	1	932
20190430	2096	5104	118	2271	0	NULL	0	NULL	NULL	4	1	1502
20190329	2096	4117	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	4
20190430	2096	15995	9	0	0	NULL	0	2	0	12	0	30
20190329	2096	11252	86	0	0	NULL	0	NULL	NULL	NULL	NULL	85
20190430	2096	6044	95	0	0	NULL	0	2	0	4	2	165
20190430	2096	10988	107	0	0	NULL	0	2	2	19	0	151
20190329	2096	5077	15	0	0	NULL	0	2	1	NULL	NULL	15
20190329	2096	12520	34	13	0	NULL	1	NULL	NULL	0	23	292
20190329	2096	6309	0	0	0	NULL	0	NULL	NULL	0	27	10
20190329	2096	18148	542	0	0	NULL	1	2	2	59	5	1881
20190430	2096	5089	2007	0	0	NULL	0	2	0	0	6	2670
20190430	2096	18956	115	0	0	NULL	0	NULL	NULL	0	1	58
20190430	2096	11887	11	0	0	NULL	0	NULL	NULL	NULL	NULL	51
20190329	2096	7357	249	2695	0	0	0	2	2	10	2	804
20190430	2096	19881	96	177	0	NULL	0	NULL	NULL	12	0	1312
